,Age,VehicleMake,Engine Noise and Exhaust %,Suspension Test %,Brake Test %,Braking Equipment Test %
1,0,TOYOTA,0,0,0,0
2,0,VOLKSWAGEN,0,0,0,0
3,1,TOYOTA,0,0.342857143,0,0
4,1,VOLKSWAGEN,0,0.714285714,0,0
5,10,TOYOTA,5.011538462,5.315384615,14.40769231,3.365384615
6,10,VOLKSWAGEN,8.828571429,4.257142857,19.07619048,15.96190476
7,11,TOYOTA,5.585714286,4.146428571,9.55,10.78571429
8,11,VOLKSWAGEN,6.983333333,4.245833333,20.85,19.52083333
9,12,TOYOTA,4.36875,11.228125,17.20625,10.075
10,12,VOLKSWAGEN,13.12,4.36,11.315,9.43
11,13,TOYOTA,4.517391304,10.18695652,11.39130435,5.608695652
12,13,VOLKSWAGEN,16.18181818,2.677272727,16.41363636,15.18181818
13,14,TOYOTA,3.245454545,2.427272727,16.59090909,14.88636364
14,14,VOLKSWAGEN,12.31764706,6.582352941,14.42941176,13.17647059
15,15,TOYOTA,3.839130435,4.382608696,16.74782609,11.15652174
16,15,VOLKSWAGEN,17.04444444,10.11111111,13.25,10.84444444
17,16,TOYOTA,2.927272727,6.354545455,13.46818182,7.786363636
18,16,VOLKSWAGEN,13.44375,11.3375,20.43125,24.5875
19,17,TOYOTA,6.976190476,8.59047619,21.08095238,19.21904762
20,17,VOLKSWAGEN,14.77692308,7.861538462,22.56153846,22.23846154
21,18,TOYOTA,13.95,9.745454545,22.75454545,11.35
22,18,VOLKSWAGEN,10.84444444,5.955555556,29.5,15.87777778
23,19,TOYOTA,10.79444444,4.538888889,9.572222222,6.772222222
24,19,VOLKSWAGEN,11.87777778,4.711111111,16.76666667,13.13333333
25,2,TOYOTA,0,0,1.3,0
26,2,VOLKSWAGEN,0,0.528571429,0,0
27,20,TOYOTA,6.017647059,5.129411765,13.44705882,11.15882353
28,20,VOLKSWAGEN,6.1625,3.95,40.85,38.55
29,21,TOYOTA,16.2,12.96666667,16.29166667,17.43333333
30,21,VOLKSWAGEN,12.48571429,6.757142857,30.64285714,27.52857143
31,22,TOYOTA,17.94,4.38,21.95,16.69
32,22,VOLKSWAGEN,14.58571429,14.91428571,17.31428571,17.38571429
33,23,TOYOTA,19.33333333,10.12222222,21.4,9.444444444
34,23,VOLKSWAGEN,7.142857143,22.58571429,17.92857143,15.7
35,24,TOYOTA,8.044444444,7.511111111,36.7,30.78888889
36,24,VOLKSWAGEN,14.40833333,12.09166667,12.85,9.341666667
37,25,TOYOTA,3.733333333,11.66666667,12.24166667,10.05
38,25,VOLKSWAGEN,7.766666667,8.977777778,12.67777778,24.24444444
39,26,TOYOTA,7.771428571,5.814285714,15.27142857,11.8
40,26,VOLKSWAGEN,12.91,12.66,23.97,23.41
41,27,TOYOTA,6.342857143,1.528571429,34.7,15.01428571
42,27,VOLKSWAGEN,23.53333333,10.02222222,19.58888889,5.455555556
43,28,TOYOTA,5.866666667,2.211111111,6.566666667,6.477777778
44,28,VOLKSWAGEN,3.411111111,5.722222222,35.44444444,24.78888889
45,29,TOYOTA,8.875,6.1625,8.45,5.0125
46,29,VOLKSWAGEN,19.28571429,1.428571429,13.57142857,17.14285714
47,3,TOYOTA,0.011111111,0.1,0.311111111,5.9
48,3,VOLKSWAGEN,2.310526316,0.584210526,0.173684211,0.089473684
49,30,TOYOTA,5.809090909,11.65454545,6.045454545,10.40909091
50,30,VOLKSWAGEN,5.685714286,10.31428571,7.271428571,4.014285714
51,31,TOYOTA,11.21428571,7.5,21.32857143,20.18571429
52,31,VOLKSWAGEN,14.6,0.716666667,11.01666667,9.566666667
53,32,TOYOTA,12.85,12.65,6.24,3.42
54,32,VOLKSWAGEN,3.757142857,7.328571429,16.37142857,14.58571429
55,33,TOYOTA,2.383333333,17.86666667,6.55,13.1
56,33,VOLKSWAGEN,2.666666667,1.333333333,13.05,17.21666667
57,34,TOYOTA,0,30,20,0
58,34,VOLKSWAGEN,33.33333333,5.55,16.66666667,11.11666667
59,35,TOYOTA,0,0,50,25
60,35,VOLKSWAGEN,6.66,30,26.66,20
61,36,VOLKSWAGEN,0,0,62.5,0
62,37,TOYOTA,0,0,0,0
63,4,TOYOTA,0.033333333,1.595238095,0.214285714,0.552380952
64,4,VOLKSWAGEN,0.277272727,5.536363636,0.204545455,0.181818182
65,41,VOLKSWAGEN,0,50,50,0
66,42,VOLKSWAGEN,0,0,0,0
67,43,VOLKSWAGEN,100,0,0,0
68,48,VOLKSWAGEN,0,0,0,0
69,5,TOYOTA,0.122222222,2.333333333,1.05,0.961111111
70,5,VOLKSWAGEN,0.335,2.2,0.855,0.355
71,54,VOLKSWAGEN,0,0,0,100
72,6,TOYOTA,0.12,1.515,1.395,0.945
73,6,VOLKSWAGEN,0.656521739,4.030434783,1.082608696,0.426086957
74,7,TOYOTA,0.425,1.285,2.465,2.21
75,7,VOLKSWAGEN,5.042105263,3.747368421,4.626315789,3.726315789
76,8,TOYOTA,0.988461538,6.561538462,4.930769231,4.223076923
77,8,VOLKSWAGEN,4.670833333,3.504166667,3.608333333,2.35
78,9,TOYOTA,1.466666667,3.744444444,6.311111111,5.827777778
79,9,VOLKSWAGEN,8.238888889,5.077777778,6.088888889,4.105555556
